user,text,retweeted_status
Shubhra1108,"RT @Shubhra1108: @GHMCOnline why are on-line deliveries suspended at Pin code 500084?
#Flipkart #meesho #firstcry 
@Flipkart @Meesho_Offici…",False
Dev46225962,#flipkart #flipkartsupport #flipkarfraud Day 5 of not know where that slipper went and when they will refund for th… https://t.co/oxKuWWMehx,False
NitishK73134191,"Damaged products received by flipkart. But flipkart not rectend the products. 
Or not refund my money back. 
Order… https://t.co/FxkHNZQG5e",False
Zubairmaani,"@Flipkart  where is my Order...!?
No response from #flipkarthelpline

Product not recived still today #Flipkart app… https://t.co/cqAuUTigAw",False
VikasSSongara,"RT @ubsforums: We are elated to welcome our eminent speaker @VikasSSongara for our Exclusive ""9th Edition Future of L&amp;D Summit &amp; Awards 202…",False
NitishK73134191,"Damaged products received by flipkart but not refund my money back. 
Oder id - OD125223710239687000
#Flipkart",False
derin_here_,@flipkartsupport This is happening in every smartphone orders. Why should I just specify mine. Stop this silly shit… https://t.co/joGd8KKlht,False
brewingglife,@venkateshyalava @CKsays_ @AjayKum43545844 @krsunil1994 @DillipK78341392 @programmersingh @Khushwant2808 @KiranSwar… https://t.co/13KDI5sLmA,False
Djpandya08,"@flipkartsupport No you haven't as e-mail which you were suppose to sent me is not received by me till now...

#Flipkart 

#fraud",False
devkaranjai,"RT @CustomerAwarens: #RETWEEET 
कृपया 🙏 कुछ दिनों के लिए #Flipkart से खरीदारी न करें क्योंकि कई ग्राहक इसकी उत्पाद गुणवत्ता और सेवा के बारे…",False
devkaranjai,RT @sidevupp: दोस्तों अगर आप ऑनलाइन शॉपिंग करने की सोच रहे हैं तो आप लोग फिलिपकार्ड से बिल्कुल शॉपिंग मत करना मैंने #flipkart से #infinix…,False
CyborgTrend,"Asus ROG phone 6 launched in india via #Flipkart 

#Asus #ROGPhone6Pro #gamingphone #techies #gadgets #taiwan https://t.co/uOcdsua73D",False
jobhihoe,"@AmbrozRitz @Flipkart @flipkartsupport Noted sir 
Such a poor experience 
Surely not gonna let them get away with t… https://t.co/NouH4YQik4",False
GccAnil,"#Flipkart Worst👎 services, damage product delivered. 
Replacement order cancelled on delivery date of product (2 ti… https://t.co/xfHZsw108O",False
derin_here_,Literally fraud from @Flipkart . They are robbing ₹29 for the so cold secure packing. NB: Poor package than earlier… https://t.co/PddKUU4FOh,False
AedinInsight,FREE AMAZON PRIME https://t.co/CDfFy9plLZ #amazon #amazonprime #amazondeals #kindle #amazonfinds #love #usa… https://t.co/rbc6bxvmYk,False
the_hindu,A simple search on #ecommerce sites like #Amazon and #Flipkart returns an array of results for #GPS trackers. These… https://t.co/Qf0IXVzNCt,False
CwenCollection,"https://t.co/ej04JJx1Dl
#cwencollection #india #mumbai #modestfashion #hijab #indianhijabi #fashioninspiration… https://t.co/LnmP3YSV4w",False
gizbot,"The Flipkart Realme Refresh Days Sale is offering a whopping discount on many Realme phones. @Flipkart

#Flipkart… https://t.co/Op2twpx07h",False
RVAnandofficial,message.  note: i have packed properly for return but he removed all packing and not even pack product properly aft… https://t.co/5ypWlaJwy9,False
ThePrankrishna,@Flipkart DOA Certificate received from @ASUSIndia. Kindly check dm for same. #Flipkart #Laptop #Replacement,False
NitinSa27050176,@Flipkart  do commit 2 deliver product faster hwevr  they are definitely struggling with their schain and lately i… https://t.co/Ue1eeEG2oI,False
AnunayTrivedi,@flipkart @_kalyan_k @jagograhakjago  @PiyushGoyal @SadhviNiranjan @AshwiniKChoubey #consumerprotection #flipkart P… https://t.co/8cKNH9w7IW,False
gandhi_mahita,Why is everything out of stock for my pincode which is literally in Mumbai? All the sellers have been changed. What… https://t.co/JqU9Zanrix,False
iamsalmanbantai,"@shadowfax_in 

Please humble request 🙏🏻
Change'this please !!!

What you want rider go for sucide attempt???
We wo… https://t.co/l0eS7Iylxs",False
samyak_sheri,"No provision to have a separate delivery address and Billing address on @Flipkart.
And @amazonIN does provide this… https://t.co/IOFNafcxIK",False
theshuklajee,"What a service by @Flipkart I'm still Stuck with my problem. @flipkartsupport are you sleeping? 

#flipkart… https://t.co/oEy9vLrTNc",False
Devende42632261,"RT @DrGauravGarg4: #Launch #CurrentAffairs 
I announce the launch of my June 2022 month current affairs Magazine in English. 
Click here to…",False
xerve_in,"Big Grocery Deals @ The Wholesale Bazaar
+ Upto 12% Rewards + Rs. 100 Bonus Cbk*
Shop Now &gt; https://t.co/jg9o6N4UXS… https://t.co/7CyJMrNWHX",False
AmanKum24351731,@FlipkartSellers @Flipkart Stop Selling On flipkart i m a seller from past 1 year and i m a silver seller but these… https://t.co/M7z5KuoUSB,False
Arunbathula112,"RT @Arunbathula112: @flipkartsupport @Flipkart @_Kalyan_K @amazonIN @AmazonHelp 

See how shamelessly #flipkart is rejecting their customer…",False
yaseenlfz,Thank you #Flipkart For My Account Is Active But I Have A Query About My Purchase I Get Diffrent Brand Product I Wa… https://t.co/XPaGLTK4ep,False
aa_yu_shh,No wonder flipkart is losing customer based I have a lodged a complain in April 2022  for beardo trimmer and the is… https://t.co/5TVy07uCxm,False
LogisticsDriver,"Flipkart expands Supply Chain Operations Academy to accelerate skill building in Karnataka

#Flipkart #supplychian",False
Abhishe12260515,#Flipkart  touchering me to not listing my problem i request for problem but they every time show my problem status… https://t.co/QV7IPZn0RF,False
DolinoLifestyle,"In this Hot Summer you need feel like air and makes you comfort with Dolino Lifestyle's Pure Cotton Bra.
Now Availa… https://t.co/kG8xofA6vt",False
PrinceR14872066,"Loyal costumer and support anytime 
What's I need more 
Thank you❤ flipkart
And A big thank to @flipkartsupport… https://t.co/cd3WLqo2i7",False
AedinInsight,FREE AMAZON PRIME https://t.co/CDfFy9plLZ #amazon #amazonprime #amazondeals #kindle #amazonfinds #love #usa… https://t.co/sPtecRBlyS,False
Kushwaharul,@ep12803225 Bycot #Flipkart #FlipkartAtYourService,False
uCloudify,"RT @assetyogi: Who owns how much at #Shadowfax?

Eight Roads Ventures- 29.20%
#Flipkart- 14.60%
Abhishek Bansal- 13.20%
Vaibhav Khandelwal-…",False
assetyogi,"Who owns how much at #Shadowfax?

Eight Roads Ventures- 29.20%
#Flipkart- 14.60%
Abhishek Bansal- 13.20%
Vaibhav Kh… https://t.co/CcSlw5qa9Z",False
ImpexGiant,"Ask for #Baby #ClothDiapers 
[0 - 2 Years]
#Reusable | #Washable | Adjustable Nappies Snap Buttons with #WetFree 5… https://t.co/pon9lnltxL",False
Kushwaharul,"RT @ep12803225: #Flipkart is a bad app, it never delivers on its given date. https://t.co/wSaDqCwaEO",False
SHARATH_JOURNO,@flipkartsupport @Flipkart @jagograhakjago @_Kalyan_K @_sachinbansal From last 4 days apart from waiting for the or… https://t.co/SMtfFqItCE,False
DhanzTweet,@Flipkart @flipkartsupport I've ordered 8GB RAM of Poco F4 instead i received 6GB. I've placed a replacement reques… https://t.co/SrKUFmthRm,False
singh_1218,"#Flipkart 
Don't Shop any electronic item from Flipkart. If they lack somewhere directly they are going to blame co… https://t.co/ckbP4VAxDn",False
CwenCollection,"Canvas Under Scarf Cap
https://t.co/Ozd3gImlBb
.
#cwencollection #mumbai #modestfashion #hijab #onlineshopping… https://t.co/NHUqoQmsMP",False
blnnetwork1,"EXCLUSIVE: Shipped around 15% of products without a secondary layer of packaging, says Flipkart
#bln #Business… https://t.co/LEWBi3gWUs",False
studyiq,Study IQ Publications is here to address the syllabus of Geography and Economy holistically from the #UPSC Civil Se… https://t.co/FdJ8BrflFm,False
upsciq,Study IQ Publications is here to address the syllabus of Geography and Economy holistically from the #UPSC Civil Se… https://t.co/KHEP2J7S6t,False
Ravi9471,RT @Ravi9471: #Flipkart #FlipkartAtYourService dear sir hm flipkart health plus se kuch medical order kiye the jo ki heart marig keliye tha…,False
iamnikhil522,"Flipkart is cancelling order automatically.😡😡
#Flipkart https://t.co/kqd9wzv71r",False
Mohitsa39818789,@flipkartsupport Instead of solving my problem Flipkart blocked my twitter. Big fraud company #flipkart,False
averagebub,What resolution are u talking abt @FlipkartHealth @flipkartsupport @Flipkart d missing meds or the endless 'botlike… https://t.co/cQNbTVC5Vu,False
Ravi9471,#Flipkart #FlipkartAtYourService dear sir hm flipkart health plus se kuch medical order kiye the jo ki heart marig… https://t.co/3ZaouRccB7,False
ep12803225,"#Flipkart is a bad app, it never delivers on its given date. https://t.co/wSaDqCwaEO",False
AshishGokhru1,"@flipkartsupport #day 45, still no contact from #Flipkart.
I don't know if there is any good platform tham #Amazon.… https://t.co/akvgac2Bde",False
AedinInsight,FREE AMAZON PRIME https://t.co/CDfFy9plLZ #amazon #amazonprime #amazondeals #kindle #amazonfinds #love #usa… https://t.co/Y0HkPH2m3S,False
ZeeTamilNews,"Flipkart offer: ரூ.8 ஆயிரத்துக்கு விற்பனையாகும் Realme 5ஜி ஸ்மார்ட்போன் 

#ZeeNewstamil | #Flipkart | #Smartphone

https://t.co/n575TWeriD",False
RAKESHK95776359,#Flipkart SRK Ne Kaha Tha Koi dhandha Chhota Nahin Hota dhandhe Se Bada Koi majhab Nahin per dhandhe Mein Bharosa H… https://t.co/FqS9s9h99r,False
AkhilAjayakumar,"No calls, No mails, No updates. Flipkart giving fake assurance for a prepaid order. #flipkartcheating #unsatisfied… https://t.co/qGCUjHmyXf",False
Shubham10436232,"@flipkartsupport  
Will @flipkart stop looting us?
I had brought shoes from #Flipkart. The box was torn. The fittin… https://t.co/biU3bzL5RN",False
leo_ashi,#Flipkart my one order (OD225344714747686000) which was for jam not received instead of this I received harpic type… https://t.co/lssUXqcvci,False
vironikaom,RT @DrGauravGarg4: Best 1000 Current Affairs book which covers 1250+ current affairs from January 2021 to March 2022 is now available in HI…,False
CwenCollection,"https://t.co/JmIiVu2oxr
#cwencollection #india #mumbai #modestfashion #hijab #indianhijabi #fashioninspiration… https://t.co/G2CRo7Z58I",False
manu_skumar,@flipkartsupport Fuddu setvice.#Flipkart,False
punjabi_jagran,"https://t.co/LbpyrQjfeH
ਸਭ ਤੋਂ ਬਿਹਤਰੀਨ ਸਮਾਰਟਫੋਨਾਂ 'ਚੋਂ ਇਕ ਹੈ Samsung Galaxy F13 11K, ਇੱਥੇ ਜਾਣੋ ਕਿਉਂ
    #technology… https://t.co/7YwnAKkQXW",False
_CuttingEDGE,"The only thing that beats 'Maa ke haath ka khaana' is 'Maa ke haath ka khaana' on the next day. 

#cuttingedge… https://t.co/ryRw8Se2KP",False
KKPatel_SEM,Hi #Amazon. I want to cancel my Product. I spoke to CC and got reply that your product is cancelled after dispatch.… https://t.co/ME48kYPPM1,False
soniofficemate,"Whiteboard Marker Kit &amp; Whiteboard Refillable Cartridge 

#soniofficemate #sonipolymers #whiteboardmarkerinkkit… https://t.co/7w0aIX8iWd",False
rohitg8093,"#FlipkartAtYourService 
#Flipkart 
Trying to clear my flipkart paylater dues from last 2 days. But it's not getting… https://t.co/U6q5X60doh",False
Mac_Kill_i_can,RT @AedinInsight: FREE AMAZON PRIME https://t.co/CDfFy9GXaz #amazon #amazonprime #amazondeals #kindle #amazonfinds #love #usa #onlineshoppi…,False
ankitmay28,RT @DrGauravGarg4: Best 1000 Current Affairs book which covers 1250+ current affairs from January 2021 to March 2022 is now available in HI…,False
AedinInsight,FREE AMAZON PRIME https://t.co/CDfFy9GXaz #amazon #amazonprime #amazondeals #kindle #amazonfinds #love #usa… https://t.co/KYt5NmMMMT,False
naveen3484,"@Flipkart @flipkartsupport @_Kalyan_K
@rajneeeshkumar
@BandBajaateRaho
@jagograhakjago
@consaff
@nch1915
 #Flipkart… https://t.co/y3L7otqFWc",False
RanaStorage,"✅ Carton Flow Rack for warehouse and Industrial use with affordable prices.
📧  : pramod.rana@ranamhe.com, info@rana… https://t.co/KjaeLaty11",False
yaseenlfz,My Flipkart Account Blocked From Last 6 Days #Flipkart #FlipkartScam #FlipkartForIndia,False
Amit39687214,"#Flipkart 

People, a new phenomenon has started, anything you order on Flipkart is getting delayed on delivery and… https://t.co/pmtLjI7KUD",False
