user,text
sadasemb,"RT @snapdeal: Introducing Aragma's amazing haircare range which has all that your hair deserves! Now available on #Snapdeal 😍 Shop now!

#A…"
MSA91856940,"RT @Sky9_8: When you don't know the facts

Paytm 2010
Byjus  2011
Oyo 2013
Ola 2010
Swiggy 2014
Delhivery 2011
Bigbasket 2011
Grofers 2013…"
BizzBuzzNews,Lemme Be eyes Rs. 30-cr turnover #LemmeBe #DeviduttaDash #Myntra #Flipkart #Amazon #Nykaa #Snapdeal https://t.co/kLmnSDjqpR
Snapdeal_Help,"@SagarBunki1899 Hi! Please “Private Message” us your contact number by clicking on the link given below, we'll help… https://t.co/E92XECs3ah"
SagarBunki1899,@snapdeal how can i login with email in which my old mobile no is attached? It sends otp to old number
the_sahriyar,@Snapdeal_Help Okay
the_sahriyar,"RT @the_sahriyar: Maine ye product Snapdeal se purchase Kia tha,lekin ye product damage nikla,maine return ke lie request Kia toh unhone re…"
the_sahriyar,"Maine ye product Snapdeal se purchase Kia tha,lekin ye product damage nikla,maine return ke lie request Kia toh unh… https://t.co/wwPchLDQ7c"
snapdeal,Introducing Aragma's amazing haircare range which has all that your hair deserves! Now available on #Snapdeal 😍 Sho… https://t.co/kSwXKVncZI
jeetume23278431,@snapdeal return closed kr diya h mera different item bhejte h or return lete nhi h frr  snapdeal side is fake
rakeshxrd,"RT @Gauravayusi: @1kunalbahl @Snapdeal_Help @snapdeal 

order no. 46333415279... very poor service by you... please urgently pick the produ…"
kotadia_kunjal,RT @Gauravayusi: @1kunalbahl @Snapdeal_Help @snapdeal  order no. 46333415279. very poor service by you. fake pickup created by you. no one…
Snapdeal_Help,@Gauravayusi Thank you for your positive feedback :)
Snapdeal_Help,"@Gauravayusi Hi, Love it when you are happy with us. This shall continue forever. Thanks! Avi"
Gauravayusi,@snapdeal very good service...
ThandaLe,"RT @Mahesh84565639: @Flipkart Give one simple Answer @Flipkart 
If you are selling poco devices that specifically #PocoX3Pro got motherboar…"
Gauravayusi,@Snapdeal_Help @snapdeal  very good service. They provide good and satisfactory solution on time. they resolved my… https://t.co/8BGzpFvILw
Snapdeal_Help,"@viptaware These OTPs can be misused by hackers to gain account access causing trouble to the brand and recipient. Thanks, Urvi (2/2)"
Snapdeal_Help,@viptaware Hi! Please be informed that there are some spam apps like SMS bomber used by hackers/pranksters to load… https://t.co/GyfgnvC1w9
viptaware,Continuous messages of OTP....@snapdeal @Meesho_Official @Flipkart @JioMart @TataCLiQ ... what's going on...?
Snapdeal_Help,@Jashand13285877 Hi! Sincere apologies for the unpleasant experience. Please “Private Message” us your order ID by… https://t.co/fASQ21MJlr
Jashand13285877,@Snapdeal_Help Delivery boy not picked my order
Snapdeal_Help,"@Jashand13285877 Hi! Apologies for this experience, please reach out to us via “Private Message” to share your orde… https://t.co/HFRSX8oMBI"
